part_no,description,part_type,location,min_stock_level,rate,unit,category,serialized_status
2330-12125-00,Seal,Vendor Part,,0,0,EACH,Expendable,
2331088015020L,Split Pin,Vendor Part,,0,0,EACH,Expendable,
23310AA015012L,Split Pin,Vendor Part,,0,0,EACH,Expendable,
23310AA015015,Split Pin,Vendor Part,XB5,0,0.1,EACH,Expendable,
23310AA015015L,Split Pin,Alternate Part,XB5,0,0,EACH,Expendable,
23310AA015020L,Split Pin,Vendor Part,,7,0,EACH,Expendable,
23310AA020015,Split Pin,Vendor Part,XB5,0,0,EACH,Expendable,
23310AA020015L,Split Pin,Vendor Part,XB13,0,0.13,EACH,Expendable,
23310AA020020L,Split Pin,Vendor Part,,0,0,EACH,Expendable,
23310AA030030L,Split Pin,Vendor Part,XB5,0,0,EACH,Expendable,
23310AAD5020,Cotter Pin,Vendor Part,,0,0,EACH,Expendable,
23310CA010015,Pin,Vendor Part,,0,0,EACH,Expendable,
23310CA015012,Cotter Pin,Vendor Part,XD5,0,0.12,EACH,Expendable,
23310CA015015,Split Pin,Vendor Part,XB5,2,0.13,EACH,Expendable,
23310CA015020,Split Pin,Vendor Part,XB5,2,0.07,EACH,Expendable,
23310CA020015,Split Pin,Vendor Part,,0,0,EACH,Expendable,
23310CA020020,Split Pin,Vendor Part,R3,0,0,EACH,Expendable,
23310CA020025,Split Pin,Vendor Part,XD5,0,0.14,EACH,Expendable,
23310CA020030,Pin,Vendor Part,,0,0,EACH,Expendable,
23310CA020040,Split Pin,Vendor Part,,0,0,EACH,Expendable,
23310CA0220025,Split Pin,Vendor Part,,0,0,EACH,Expendable,
23310CA025025,Split Pin,Vendor Part,,0,0,EACH,Expendable,
23310CA030012,Cotter Pin,OEM Part,,0,0,EACH,Expendable,
23310CA030015,Cotter Pin,OEM Part,,0,0,EACH,Expendable,
23310CA030020,Cotter Pin,OEM Part,,0,0,EACH,Expendable,
23310CA030025,Split Pin,Vendor Part,XD12,0,0.12,EACH,Expendable,
23310CA030030,Split Pin,Vendor Part,XB4,0,0.8,EACH,Expendable,
23310CA030035,Split Pin,Vendor Part,XB13,1,0.13,EACH,Expendable,
23310CA030040,Cotter Pin,OEM Part,,0,0,EACH,Expendable,
23310CA105020,Cotter Pin,Vendor Part,,0,0,EACH,Expendable,
23310CAA030030L,Split Pin,Vendor Part,XB4,0,0,EACH,Expendable,
2331-12125-00,Seal,Vendor Part,,0,0,EACH,Expendable,
233112G060LE,Washer,Vendor Part,,0,0,Each.,Accessories,
233209-03,Filter Element,Vendor Part,,0,0,EACH,Expendable,
23340AK1020LE,"Pin, Locking",Vendor Part,XA9,1,0,EACH,Expendable,
23340AK1530LE,Pin,Vendor Part,,0,0,EACH,Expendable,
23340AK2040LE,Safety Clip,Vendor Part,,0,0,EACH,Expendable,
23340AK30130LE,"Pin, Locking",Vendor Part,IXC4,0,0,EACH,Expendable,
23350AC040LE,Washer,Vendor Part,,0,0,EACH,Expendable,
23350AC050LE,"Washer, Tab",Vendor Part,IXB6,0,0,EACH,Expendable,
23350AC060LE,"Lock, Washer",Vendor Part,,0,0,EACH,Expendable,
23350AC070LE,Washer,Vendor Part,IXA2,0,0,EACH,Expendable,
23350AC080LE,Washer,Vendor Part,1B3,0,0,EACH,Expendable,
23350AC100LE,Washer,Vendor Part,IXA6,0,0,EACH,Expendable,
23350AC120LE,WASHER LOCK,Vendor Part,,0,0,EACH,Expendable,
23350AC180LE,Washer,Vendor Part,1D1,0,0,EACH,Expendable,
23350CA040,Lock Washer,Vendor Part,,0,0,EACH,Expendable,
23350CA050,Lock,Vendor Part,,0,0,EACH,Expendable,
23350CA060,Lock Washer,Vendor Part,,0,0,EACH,Expendable,
23350CA080,Washer,Vendor Part,1B3,0,0,EACH,Expendable,
